0; Соломон; Кириллов; Юрьевич; 29; 168; 51; Москва; Санкт-Петербург
1; Евфросиния; Копылов; Михайлович; 36; 175; 79; Санкт-Петербург; Москва
2; Поликарп; Соболев; Михайлович; 69; 191; 80; Санкт-Петербург; Санкт-Петербург
3; Устина; Ильин; Юрьевич; 61; 152; 84; Москва; Москва
4; Сидор; Мамонтов; Юрьевич; 38; 155; 81; Санкт-Петербург; Санкт-Петербург
5; Фекуса; Белозёров; Юрьевич; 32; 177; 86; Москва; Москва
6; Сильвия; Кузьмин; Михайлович; 39; 179; 70; Санкт-Петербург; Санкт-Петербург
7; Лаура; Третьяков; Михайлович; 27; 152; 59; Санкт-Петербург; Санкт-Петербург
8; Давыд; Носов; Юрьевич; 59; 187; 72; Санкт-Петербург; Санкт-Петербург
9; Семён; Шубин; Юрьевич; 37; 153; 47; Санкт-Петербург; Москва
10; Любомира; Рябов; Михайлович; 30; 151; 82; Санкт-Петербург; Санкт-Петербург
11; Панкрат; Лихачёв; Юрьевич; 20; 195; 66; Москва; Москва
12; Тихослава; Павлов; Юрьевич; 32; 169; 68; Санкт-Петербург; Санкт-Петербург
13; Христина; Котов; Юрьевич; 65; 160; 60; Санкт-Петербург; Санкт-Петербург
14; Моника; Казаков; Михайлович; 66; 164; 61; Москва; Москва
15; Бронислава; Кононов; Юрьевич; 64; 181; 52; Москва; Москва
16; Амос; Носов; Юрьевич; 29; 157; 85; Москва; Санкт-Петербург
17; Анект; Вишняков; Михайлович; 29; 196; 47; Москва; Москва
18; Демид; Фомичёв; Михайлович; 21; 165; 78; Москва; Санкт-Петербург
19; Апфия; Игнатьев; Михайлович; 27; 198; 74; Москва; Москва
20; Павлина; Зиновьев; Юрьевич; 38; 171; 41; Санкт-Петербург; Санкт-Петербург
21; Семион; Дроздов; Михайлович; 31; 164; 52; Москва; Санкт-Петербург
22; Малина; Беспалов; Юрьевич; 49; 176; 44; Москва; Москва
23; Ануфрий; Суворов; Михайлович; 46; 157; 60; Москва; Москва
24; Олег; Соколов; Михайлович; 57; 195; 85; Санкт-Петербург; Санкт-Петербург
25; Фридерика; Михеев; Михайлович; 26; 194; 50; Москва; Санкт-Петербург
26; Пахом; Миронов; Михайлович; 47; 161; 40; Москва; Санкт-Петербург
